"AL",0,"FL",0
"AL",0,"GA",0
"AL",0,"MS",0
"AL",0,"TN",0
"AZ",0,"CA",0
"AZ",0,"NM",0
"AZ",0,"NV",0
"AZ",0,"UT",0
"AR",0,"LA",0
"AR",0,"MS",0
"AR",0,"TX",0
"AR",0,"OK",0
"AR",0,"MO",0
"AR",0,"TN",0
"CA",0,"OR",0
"CA",0,"AZ",0
"CA",0,"NV",0
"CO",0,"NM",0
"CO",0,"UT",0
"CO",0,"WY",0
"CO",0,"KS",0
"CO",0,"OK",0
"CO",0,"NB",0
"CT",0,"NY",0
"CT",0,"MA",0
"CT",0,"RI",0
"DE",0,"NJ",0
"DE",0,"PA",0
"DE",0,"MD",0
"FL",0,"GA",0
"FL",0,"AL",0
"GA",0,"FL",0
"GA",0,"AL",0
"GA",0,"TX",0
"GA",0,"NC",0
"GA",0,"SC",0
"ID",0,"UT",0
"ID",0,"NV",0
"ID",0,"OR",0
"ID",0,"WA",0
"ID",0,"MT",0
"ID",0,"WY",0
"IL",0,"IA",0
"IL",0,"WI",0
"IL",0,"IN",0
"IL",0,"KY",0
"IL",0,"MO",0
"IN",0,"IL",0
"IN",0,"MI",0
"IN",0,"OH",0
"IN",0,"KY",0
"IA",0,"NB",0
"IA",0,"MO",0
"IA",0,"IL",0
"IA",0,"WI",0
"IA",0,"MN",0
"IA",0,"SD",0
"KS",0,"MO",0
"KS",0,"OK",0
"KS",0,"CO",0
"KS",0,"NB",0
"KY",0,"TN",0
"KY",0,"MO",0
"KY",0,"IL",0
"KY",0,"IN",0
"KY",0,"OH",0
"KY",0,"MV",0
"KY",0,"VA",0
"LA",0,"AR",0
"LA",0,"MS",0
"LA",0,"TX",0
"ME",0,"NH",0
"MD",0,"VA",0
"MD",0,"MV",0
"MD",0,"PA",0
"MD",0,"DE",0
"MD",0,"DC",0
"MA",0,"RI",0
"MA",0,"CT",0
"MA",0,"NY",0
"MA",0,"VT",0
"MA",0,"NH",0
"MI",0,"WI",0
"MI",0,"IN",0
"MI",0,"OH",0
"MN",0,"ND",0
"MN",0,"SD",0
"MN",0,"IA",0
"MN",0,"WI",0
"MS",0,"LA",0
"MS",0,"AR",0
"MS",0,"TN",0
"MS",0,"AL",0
"MO",0,"IL",0
"MO",0,"TN",0
"MO",0,"AR",0
"MO",0,"OK",0
"MO",0,"KS",0
"MO",0,"NB",0
"MO",0,"IA",0
"MO",0,"KY",0
"MT",0,"ND",0
"MT",0,"SD",0
"MT",0,"ID",0
"MT",0,"WY",0
"NE",0,"CO",0
"NE",0,"WY",0
"NE",0,"SD",0
"NE",0,"IA",0
"NE",0,"MO",0
"NE",0,"KS",0
"NV",0,"CA",0
"NV",0,"OR",0
"NV",0,"ID",0
"NV",0,"UT",0
"NV",0,"AZ",0
"NH",0,"VT",0
"NH",0,"ME",0
"NH",0,"MA",0
"NJ",0,"DE",0
"NJ",0,"PA",0
"NJ",0,"NY",0
"NM",0,"TX",0
"NM",0,"OK",0
"NM",0,"CO",0
"NM",0,"AZ",0
"NY",0,"PA",0
"NY",0,"VT",0
"NY",0,"MA",0
"NY",0,"CT",0
"NY",0,"NJ",0
"NC",0,"SC",0
"NC",0,"GA",0
"NC",0,"TN",0
"NC",0,"VA",0
"ND",0,"MT",0
"ND",0,"SD",0
"ND",0,"MN",0
"OH",0,"IN",0
"OH",0,"MI",0
"OH",0,"PA",0
"OH",0,"WV",0
"OH",0,"KY",0
"OK",0,"TX",0
"OK",0,"NM",0
"OK",0,"CO",0
"OK",0,"KS",0
"OK",0,"MO",0
"OK",0,"AR",0
"OR",0,"WA",0
"OR",0,"ID",0
"OR",0,"NV",0
"OR",0,"CA",0
"PA",0,"NJ",0
"PA",0,"DE",0
"PA",0,"MD",0
"PA",0,"OH",0
"PA",0,"NY",0
"PA",0,"WV",0
"RI",0,"CT",0
"RI",0,"MA",0
"SC",0,"GA",0
"SC",0,"NC",0
"SD",0,"NB",0
"SD",0,"WY",0
"SD",0,"MT",0
"SD",0,"ND",0
"SD",0,"MN",0
"SD",0,"IA",0
"TN",0,"MS",0
"TN",0,"AR",0
"TN",0,"KY",0
"TN",0,"VA",0
"TN",0,"NC",0
"TN",0,"GA",0
"TN",0,"AL",0
"TN",0,"MO",0
"TX",0,"NM",0
"TX",0,"OK",0
"TX",0,"AR",0
"TX",0,"LA",0
"UT",0,"AZ",0
"UT",0,"NV",0
"UT",0,"ID",0
"UT",0,"WY",0
"UT",0,"CO",0
"VT",0,"NY",0
"VT",0,"MA",0
"VT",0,"NH",0
"VA",0,"KY",0
"VA",0,"WV",0
"VA",0,"MD",0
"VA",0,"TN",0
"VA",0,"NC",0
"VA",0,"DC",0
"WA",0,"OR",0
"WA",0,"ID",0
"WV",0,"VA",0
"WV",0,"KY",0
"WV",0,"OH",0
"WV",0,"PA",0
"WV",0,"MD",0
"WI",0,"IA",0
"WI",0,"MN",0
"WI",0,"MI",0
"WI",0,"IL",0
"WY",0,"CO",0
"WY",0,"UT",0
"WY",0,"ID",0
"WY",0,"MT",0
"WY",0,"SD",0
"WY",0,"NB",0
"DC",0,"VA",0
"DC",0,"MD",0
